original_index,text_length,word_count,sentence_count,avg_word_length,lexical_diversity,has_questions,has_exclamations,keyword_overlap,response_relevance,grammar_quality,has_punctuation,sentence_completeness,has_greeting,has_description,has_connectors,has_emotional_words,style_score,answer_length_sufficiency,content_richness,engagement_level,question_type,composite_quality_score
38,1250,189,36,5.095238095238095,0.6190476190476191,1,0,0.8571428571428571,1.0,0.8111111111111111,1.0,0.7777777777777778,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,0.8776041666666667,0.9265625,3.0,0.8581646825396825
39,3786,617,117,4.818476499189627,0.49270664505672607,1,0,0.7692307692307693,1.0,0.8487179487179488,1.0,0.8717948717948718,0.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.806611570247934,0.8839669421487604,4.0,0.8385867768595042
40,600,102,37,4.5,0.43137254901960786,1,0,0.72,1.0,0.4189189189189189,1.0,0.2972972972972973,1.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.7450980392156863,0.8470588235294119,1.0,0.6587244303126657
41,1576,234,84,5.294871794871795,0.44871794871794873,1,0,0.7906976744186046,1.0,0.4666666666666667,1.0,0.4166666666666667,0.0,0.0,1.0,1.0,0.6666666666666666,1.0,0.8133047210300429,0.8879828326180257,2.0,0.7416660012642645
42,864,124,28,5.637096774193548,0.6935483870967742,1,0,0.7560975609756098,1.0,0.5428571428571428,1.0,0.6071428571428571,1.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.8951612903225806,0.9370967741935483,3.0,0.7515344123487318
43,2124,343,88,4.798833819241983,0.5335276967930029,1,0,0.7435897435897436,1.0,0.5545454545454546,1.0,0.6363636363636364,0.0,1.0,0.0,1.0,0.3333333333333333,1.0,0.8372434017595307,0.9023460410557185,4.0,0.7398078802917513
44,328,46,14,5.782608695652174,0.6956521739130435,1,0,0.8095238095238095,1.0,0.5,1.0,0.5,1.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.8913043478260869,0.9347826086956521,1.0,0.7441511387163561
45,2449,371,70,5.204851752021563,0.5202156334231806,1,0,0.7894736842105263,1.0,0.7571428571428571,1.0,0.6428571428571429,0.0,0.0,1.0,1.0,0.6666666666666666,1.0,0.8292682926829269,0.8975609756097562,2.0,0.8114429366098173
46,827,127,26,5.196850393700787,0.6850393700787402,1,0,0.7674418604651163,1.0,0.5307692307692308,1.0,0.5769230769230769,1.0,1.0,0.0,0.0,0.3333333333333333,1.0,0.8622047244094488,0.9173228346456692,3.0,0.7410585315923166
47,3823,623,113,4.735152487961477,0.4767255216693419,1,0,0.6923076923076923,1.0,0.8079646017699116,1.0,0.7699115044247787,0.0,1.0,1.0,0.0,0.3333333333333333,1.0,0.8178807947019868,0.890728476821192,4.0,0.7762721032313132
48,641,100,19,5.03,0.73,1,0,0.6818181818181818,1.0,0.7947368421052632,1.0,0.7368421052631579,0.0,0.0,1.0,0.0,0.3333333333333333,1.0,0.9292929292929293,0.9575757575757575,1.0,0.795622009569378
49,2607,425,105,4.72,0.48470588235294115,1,0,0.8867924528301887,1.0,0.5552380952380952,1.0,0.638095238095238,0.0,1.0,1.0,0.0,0.3333333333333333,1.0,0.83729216152019,0.9023752969121139,2.0,0.7687371807594547
